Image path,Title,Description,Tag,Shop,,,
C:\Users\Administrator\Dropbox\Tool up spreadshirt\file anh\1 PT011117,Shake Those Balls Funny Bingo Lover Shirt,"""Shake Those Balls Funny Bingo Lover Shirt Funny gift '' shirt for your lover, husband, wife or friends. Buy custom T shirt, hoodie, sweater, mug with no minimum order required. ""","shake those balls, bingo lover gifts, bingo player costume playing, gift bingo player funny, bingo game clothing accessories",Collection-1QT,,,
C:\Users\Administrator\Dropbox\Tool up spreadshirt\file anh\2 PT01117,I Hug My Cat So I Dont Punch People In The Throat Cat Lover,"""I Hug My Cat So I Dont Punch People In The Throat Cat Lover Funny gift '' shirt for your lover, husband, wife or friends. Buy custom T shirt, hoodie, sweater, mug with no minimum order required. ""","I hug my cat so I don't punch people in the throat, cat costume accessories, cat clothes women animal, cat clothes plus size, cat funny t shirt",Collection-2QT,,,
